#
# unknown PARAMETER set 
#
#
# TimeSeriesTable of series:
#
# TT.L_Close [249,249] Werte
# TSCO.L_Close [261,261] Werte
# BP.L_Close [261,261] Werte
# BG.L_Close [261,261] Werte
# MGGT.L_Close [261,261] Werte
# AGK.L_Close [261,261] Werte
# RIO.L_Close [261,261] Werte
# SBRY.L_Close [261,261] Werte
# TLW.L_Close [261,261] Werte
# CCL.L_Close [261,261] Werte
# VOD.L_Close [261,261] Werte
# SVT.L_Close [261,261] Werte
# BLT.L_Close [261,261] Werte
# REX.L_Close [261,261] Werte
# MKS.L_Close [261,261] Werte
# ANTO.L_Close [261,261] Werte
# AZN.L_Close [261,261] Werte
# UU.L_Close [261,261] Werte
# SSE.L_Close [261,261] Werte
# RDSB.L_Close [261,261] Werte
# BA.L_Close [261,261] Werte
# AAL.L_Close [261,261] Werte
# MRW.L_Close [261,261] Werte
# NG.L_Close [261,261] Werte
# MNDI.L_Close [261,261] Werte
# BT-A.L_Close [261,261] Werte
# CNA.L_Close [261,261] Werte
# EZJ.L_Close [261,261] Werte
#
#
Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
1403852400000.0000	436.6000	283.7500	514.6000	1246.5000	507.0000	1642.0000	3123.0000	316.7000	853.0000	2224.0000	196.2500	1917.0000	3827.0000	527.5000	431.9000	764.5000	4370.0000	880.5000	1566.0000	2551.0000	431.6000	1431.0000	183.9000	837.0000	1072.0000	389.0000	312.8000	1459.0000	
1391414400000.0000	403.0000	318.9500	473.6000	1025.0000	513.0000	1564.0000	3219.0000	345.5000	785.0000	2455.0000	126.3100	1762.0000	3549.0000	500.0000	467.9000	848.0000	3872.0000	722.5000	1332.0000	2208.0000	423.8000	1397.0000	238.6000	792.0000	917.0000	384.8000	313.8000	1635.0000	
1399446000000.0000	433.1000	286.0500	501.4000	1268.0000	482.7000	1643.9990	3247.0000	323.9000	896.0000	2399.0000	226.7500	1861.0000	3834.0000	489.9010	436.9000	780.0000	4631.0000	816.5000	1545.0000	2546.0000	404.5000	1567.5000	190.8000	844.5000	992.0000	376.8000	326.8000	1710.0000	
1402556400000.0000	426.7000	292.1000	508.3000	1265.0000	525.0000	1640.0000	3058.0000	325.7000	842.0000	2414.0000	196.7500	1973.0000	3736.0000	527.5000	453.2000	749.5000	4422.5000	886.5000	1559.0000	2483.5000	426.8000	1418.0000	193.2000	838.5000	1073.0000	397.3000	329.1000	1501.0000	
1395039600000.0000	368.9000	299.7000	476.8500	1080.0000	460.2000	1532.9990	3179.5000	311.4000	775.5000	2381.0000	226.0000	1831.0000	3617.0000	484.0000	466.3000	847.5000	3970.5000	792.5000	1427.0000	2286.0000	396.5000	1461.5000	207.4000	826.0000	1084.0000	394.1000	332.5000	1636.0000	
1398150000000.0000	377.9000	292.4000	486.6000	1137.5000	477.0000	1543.0030	3257.0000	320.5000	865.0000	2265.0000	217.0500	1800.0000	3837.0000	506.0000	442.3000	844.5000	3960.0000	776.5000	1509.0000	2389.0000	392.0000	1538.5000	204.1000	831.0000	1004.0000	371.3000	344.9000	1712.0000	
1409900400000.0000	405.2000	228.5000	466.8000	1218.0000	470.5000	1680.0000	3221.0000	292.0000	729.0000	2374.0000	206.0000	1995.0000	3793.0000	496.9000	435.8000	794.0000	4553.0000	874.0000	1511.0000	2557.5000	455.8000	1564.5000	173.4000	916.0000	1045.0000	388.5000	324.3000	1366.0000	
1419840000000.0000	356.9000	188.4500	418.0000	889.7000	516.5000	1535.0000	2966.0000	246.0000	422.3000	2930.0000	224.8000	2041.0000	2814.0000	457.7000	483.2000	755.0000	4557.0000	933.5000	1632.0000	2284.5000	475.6000	1214.5000	183.0000	922.3000	1069.0000	405.5000	286.2000	1642.0000	
1405494000000.0000	404.8000	287.1500	506.6000	1204.5000	537.0000	1738.0000	3334.5000	325.6000	778.0000	2145.0000	195.9000	1918.0000	4068.0000	536.5000	438.0000	824.5000	4371.0000	887.5000	1543.0000	2542.0000	422.3000	1564.0000	180.1000	858.5000	1057.0000	387.1000	310.3000	1357.0000	
1401087600000.0000	433.5000	304.1300	506.9700	1213.4400	471.4900	1718.0020	3257.5000	343.7000	840.9600	2399.0000	206.3560	1924.0000	3894.8000	528.5000	443.2000	799.0000	4328.0000	845.9600	1548.0000	2444.5000	413.4930	1573.4200	202.7000	880.4600	1072.1000	385.5450	328.2800	1572.0000	
